name,userId,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,oldrank_1,oldrank_2,oldrank_3
Jack Smith,1,"Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Return of the King, The (2003)",Memento (2000),Kill Bill: Vol. 1 (2003),Fight Club (1999),Kill Bill: Vol. 2 (2004),Donnie Darko (2001),"Matrix, The (1999)",Léon: The Professional (a.k.a. The Professional) (Léon) (1994),"Monsters, Inc. (2001)",Pulp Fiction (1994),Three Colors: Blue (Trois couleurs: Bleu) (1993),Underground (1995)
Jake Jones,2,Finding Nemo (2003),Good Will Hunting (1997),Dances with Wolves (1990),"Green Mile, The (1999)",Beauty and the Beast (1991),Die Hard (1988),Star Wars: Episode II - Attack of the Clones (2002),Batman (1989),Star Wars: Episode I - The Phantom Menace (1999),"Terminator, The (1984)",Braveheart (1995),Star Wars: Episode IV - A New Hope (1977),"Shawshank Redemption, The (1994)"
Gurdith San,3,Donnie Darko (2001),Black Hawk Down (2001),Kingsman: The Secret Service (2015),One Flew Over the Cuckoo's Nest (1975),Men in Black (a.k.a. MIB) (1997),A.I. Artificial Intelligence (2001),National Treasure (2004),Deadpool (2016),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Brazil (1985),"Usual Suspects, The (1995)",Before the Rain (Pred dozhdot) (1994),Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
Vipen Rich,4,Iron Man (2008),Toy Story 3 (2010),Star Trek (2009),Zombieland (2009),Shrek (2001),"Terminator, The (1984)",Inside Out (2015),Watchmen (2009),The Imitation Game (2014),Captain America: Civil War (2016),Spirited Away (Sen to Chihiro no kamikakushi) (2001),"Incredibles, The (2004)",Lucky Number Slevin (2006)
Amy Sam,5,"Shawshank Redemption, The (1994)",Mr. Holland's Opus (1995),Jurassic Park (1993),True Lies (1994),Mission: Impossible (1996),Jerry Maguire (1996),Leaving Las Vegas (1995),"Truth About Cats & Dogs, The (1996)","Time to Kill, A (1996)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Dead Man Walking (1995),Seven (a.k.a. Se7en) (1995)
Fabio Jim,6,"Godfather: Part II, The (1974)","Usual Suspects, The (1995)",Star Wars: Episode VI - Return of the Jedi (1983),Braveheart (1995),Pulp Fiction (1994),"Matrix, The (1999)",One Flew Over the Cuckoo's Nest (1975),"Princess Bride, The (1987)",Fight Club (1999),Forrest Gump (1994),Star Wars: Episode IV - A New Hope (1977),"Shawshank Redemption, The (1994)",Schindler's List (1993)
John Smith,7,"Shawshank Redemption, The (1994)",Braveheart (1995),True Lies (1994),Clear and Present Danger (1994),Jurassic Park (1993),Forrest Gump (1994),Babe (1995),"Lion King, The (1994)",Quiz Show (1994),Fargo (1996),"Postman, The (Postino, Il) (1994)",Three Colors: Red (Trois couleurs: Rouge) (1994),Schindler's List (1993)
Edward Lou,8,Batman (1989),Indiana Jones and the Last Crusade (1989),Twister (1996),Reservoir Dogs (1992),Clear and Present Danger (1994),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),"Birdcage, The (1996)",Jaws (1975),Dumb & Dumber (Dumb and Dumber) (1994),"Crow, The (1994)",Seven (a.k.a. Se7en) (1995),Friday (1995),Happy Gilmore (1996)
Louise Jones,9,"Lion King, The (1994)",Beauty and the Beast (1991),"Fugitive, The (1993)",Jurassic Park (1993),Monty Python and the Holy Grail (1975),Speed (1994),While You Were Sleeping (1995),Maverick (1994),Dave (1993),Casablanca (1942),Jumanji (1995),GoldenEye (1995),Anne Frank Remembered (1995)
Louise Jones,10,Schindler's List (1993),Dances with Wolves (1990),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Back to the Future (1985),Seven (a.k.a. Se7en) (1995),"Matrix, The (1999)",Clear and Present Danger (1994),"Godfather, The (1972)",Ace Ventura: Pet Detective (1994),Star Wars: Episode I - The Phantom Menace (1999),"Usual Suspects, The (1995)",Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode V - The Empire Strikes Back (1980)
Louise Jones,11,"Lord of the Rings: The Two Towers, The (2002)","Shawshank Redemption, The (1994)",Braveheart (1995),"Matrix, The (1999)","Sixth Sense, The (1999)",Saving Private Ryan (1998),Fight Club (1999),Forrest Gump (1994),Gladiator (2000),Good Will Hunting (1997),Reality Bites (1994),"Silence of the Lambs, The (1991)","Simpsons Movie, The (2007)"
Louise Jones,12,Dogma (1999),Chasing Amy (1997),Traffic (2000),Mary Poppins (1964),Wag the Dog (1997),Adaptation (2002),Eternal Sunshine of the Spotless Mind (2004),Brokeback Mountain (2005),Slumdog Millionaire (2008),Top Gun (1986),Casino (1995),"Usual Suspects, The (1995)",Living in Oblivion (1995)
Louise Jones,13,Juno (2007),"Truman Show, The (1998)",Aladdin (1992),Clerks (1994),"Princess Bride, The (1987)",Full Metal Jacket (1987),Kick-Ass (2010),Old Boy (2003),Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),"Rock, The (1996)",Dumb & Dumber (Dumb and Dumber) (1994),Pulp Fiction (1994),Forrest Gump (1994)
Louise Jones,14,"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",Seven (a.k.a. Se7en) (1995),"Matrix, The (1999)",Trainspotting (1996),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Eternal Sunshine of the Spotless Mind (2004),Memento (2000),Donnie Darko (2001),Inception (2010),"Usual Suspects, The (1995)",Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Pulp Fiction (1994)
